Template Type,Template ID,Template Name,Subject/Content Type,Full Content,Usage Type,Variables Used
SMS,11,Quick Deal Confirmation,Deal Received,"Hi {{brokerName}}! Deal received for {{address}} (ID: {{dealId}}). Initial review within 24-48hrs. Track status: {{shortUrl}}. Questions? Reply HELP. - LandLinq Team",confirmation,"brokerName, address, dealId, shortUrl"
SMS,12,Urgent High Priority Alert,High Priority Deal,"🎉 APPROVED! {{address}} is HIGH PRIORITY. {{analystName}} calling within 24hrs. Check email for details. Deal ID: {{dealId}}. - Catalyst Capital",approved,"address, analystName, dealId"
SMS,13,Quick Status Update,Deal Status Update,"Update on {{address}} ({{dealId}}): {{statusUpdate}}. {{nextStep}}. Full details in email. Questions? Call {{analystPhone}}. - {{analystName}}",under_review,"address, dealId, statusUpdate, nextStep, analystPhone, analystName"
SMS,14,Document Reminder,Documents Needed,"Reminder: Documents needed for {{address}} ({{dealId}}) by {{deadline}}. Upload: {{uploadUrl}} or reply with questions. - {{analystName}}",document_request,"address, dealId, deadline, uploadUrl, analystName"
SMS,15,Meeting Reminder,Meeting Tomorrow,"Reminder: Meeting tomorrow {{time}} at {{location}} for {{address}}. Need to reschedule? Call {{phone}}. - {{analystName}}",meeting_reminder,"time, location, address, phone, analystName"
SMS,16,Market Alert,Hot Market Update,"🔥 HOT MARKET: {{marketName}} - seeking {{propertyType}}, {{sizeRange}} acres. Fast decisions! Submit: {{submissionUrl}} - LandLinq",market_alert,"marketName, propertyType, sizeRange, submissionUrl"
SMS,17,Payment Processed,Commission Paid,"💰 Commission processed! ${{amount}} for {{address}} ({{dealId}}). Payment arriving {{arrivalDate}}. Details in email. - Catalyst Capital",payment,"amount, address, dealId, arrivalDate"
SMS,18,Follow-up Prompt,Quick Check-in,"Hi {{brokerName}}! Following up on {{address}} ({{dealId}}). Any updates? Call {{phone}} or reply here. - {{analystName}}",follow_up,"brokerName, address, dealId, phone, analystName"
EMAIL,19,Quarterly Performance Review,Q{{quarter}} {{year}} Broker Performance Summary,"Dear {{brokerName}},

Here's your quarterly performance summary for Q{{quarter}} {{year}}:

**Your Performance Highlights:**
- Deals Submitted: {{dealsSubmitted}}
- Approval Rate: {{approvalRate}}%
- Closed Transactions: {{closedDeals}}
- Total Commissions: {{totalCommissions}}
- Average Deal Size: {{avgDealSize}}

**Top Performing Markets:**
{{topMarkets}}

**Deal Categories:**
- High Priority (Green): {{greenDeals}}
- Under Review (Yellow): {{yellowDeals}}  
- Declined (Red): {{redDeals}}

**Commission Breakdown:**
{{commissionBreakdown}}

**Compared to Network Average:**
- Approval Rate: {{approvalComparison}}
- Deal Quality Score: {{qualityScore}}/10
- Response Time: {{responseTimeComparison}}

**Areas of Excellence:**
{{excellenceAreas}}

**Growth Opportunities:**
{{growthAreas}}

**Q{{nextQuarter}} Goals:**
{{nextQuarterGoals}}

**Upcoming Market Focus:**
{{upcomingFocus}}

Thank you for your continued partnership. Let's make Q{{nextQuarter}} even more successful!

Best regards,
{{analystName}}
Catalyst Capital Partners

**Schedule Review Call:** {{calendarUrl}}",performance_review,"brokerName, quarter, year, dealsSubmitted, approvalRate, closedDeals, totalCommissions, avgDealSize, topMarkets, greenDeals, yellowDeals, redDeals, commissionBreakdown, approvalComparison, qualityScore, responseTimeComparison, excellenceAreas, growthAreas, nextQuarter, nextQuarterGoals, upcomingFocus, analystName, calendarUrl"
EMAIL,20,Holiday/Season Greetings,Happy Holidays from Catalyst Capital Partners,"Dear {{brokerName}},

As {{holiday}} approaches, we want to take a moment to thank you for your partnership and dedication throughout {{year}}.

**This Year's Achievements Together:**
- Deals Evaluated: {{totalDeals}}
- Successful Acquisitions: {{successfulAcquisitions}}
- Partners Like You: {{totalBrokers}}
- Markets Served: {{marketsServed}}

**Your Contribution:**
You've been instrumental in {{personalContribution}}.

**Looking Ahead to {{nextYear}}:**
We're excited about expanded opportunities in:
- {{newMarkets}}
- {{newDevelopmentTypes}}
- {{enhancedPrograms}}

**Holiday Schedule:**
Our offices will be {{holidaySchedule}}. For urgent matters, contact {{emergencyContact}}.

**New Year Kick-off:**
Save the date for our {{eventName}} on {{eventDate}}. Details coming soon!

From all of us at Catalyst Capital Partners, we wish you and your family a wonderful {{holiday}} and a prosperous {{nextYear}}.

Thank you for being an exceptional partner.

Warm regards,
The Catalyst Capital Partners Team

P.S. Keep those great deals coming in {{nextYear}}!",holiday_greeting,"brokerName, holiday, year, totalDeals, successfulAcquisitions, totalBrokers, marketsServed, personalContribution, nextYear, newMarkets, newDevelopmentTypes, enhancedPrograms, holidaySchedule, emergencyContact, eventName, eventDate"
EMAIL,21,Deal Expiration Warning,Action Needed: {{address}} Deal Expires Soon | {{dealId}},"Dear {{brokerName}},

This is an important notice regarding your submitted deal:

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Status:** {{currentStatus}}
**Expiration:** {{expirationDate}} ({{daysRemaining}} days remaining)

**Required Action:**
{{requiredAction}}

**To Extend/Update:**
1. {{step1}}
2. {{step2}}
3. {{step3}}

**Contact Immediately:**
If you need assistance or have questions, please contact:
- {{analystName}}: {{analystPhone}}
- Email: {{analystEmail}}
- Response needed by: {{responseDeadline}}

**Why This Matters:**
{{importanceNote}}

Don't let this opportunity expire! Please reach out today.

Best regards,
{{analystName}}
Catalyst Capital Partners

**Quick Response:** Reply to this email or call {{quickContactNumber}}",expiration_warning,"brokerName, address, dealId, currentStatus, expirationDate, daysRemaining, requiredAction, step1, step2, step3, analystName, analystPhone, analystEmail, responseDeadline, importanceNote, quickContactNumber"
EMAIL,22,New Market Expansion Announcement,Exciting News: We're Expanding to {{newMarketName}}!,"Dear {{brokerName}},

We have exciting news to share! Catalyst Capital Partners is expanding our acquisition focus to include {{newMarketName}}.

**New Market Details:**
- Market: {{newMarketName}}
- Launch Date: {{launchDate}}
- Focus Areas: {{focusAreas}}
- Development Types: {{developmentTypes}}

**What We're Seeking:**
{{acquisitionCriteria}}

**Investment Range:** {{investmentRange}}
**Timeline:** {{acquisitionTimeline}}

**Local Team:**
- Market Manager: {{marketManager}}
- Analyst: {{localAnalyst}}
- Phone: {{localPhone}}
- Email: {{localEmail}}

**Broker Opportunities:**
{{brokerOpportunities}}

**Special Launch Incentives:**
{{launchIncentives}}

**Getting Started:**
1. Review market criteria: {{criteriaUrl}}
2. Submit first deal: {{submissionUrl}}
3. Schedule market briefing: {{briefingUrl}}

**Market Kick-off Event:**
Join us for our {{eventName}} on {{eventDate}} at {{eventLocation}}.
RSVP: {{rsvpUrl}}

This expansion represents significant new opportunities for our broker partners. We're excited to explore {{newMarketName}} together!

Questions about the new market? Contact {{marketManager}} at {{contactInfo}}.

Best regards,
The LandLinq Team
Catalyst Capital Partners",market_expansion,"brokerName, newMarketName, launchDate, focusAreas, developmentTypes, acquisitionCriteria, investmentRange, acquisitionTimeline, marketManager, localAnalyst, localPhone, localEmail, brokerOpportunities, launchIncentives, criteriaUrl, submissionUrl, briefingUrl, eventName, eventDate, eventLocation, rsvpUrl, contactInfo"
SMS,19,Deal Expiration Alert,Deal Expires Soon,"⚠️ URGENT: {{address}} ({{dealId}}) expires in {{daysLeft}} days! Action needed. Check email or call {{phone}}. - {{analystName}}",expiration_alert,"address, dealId, daysLeft, phone, analystName"
SMS,20,New Market Alert,New Market Launch,"🎉 NEW MARKET! Now seeking deals in {{marketName}}. {{propertyTypes}}, {{sizeRange}}. Submit: {{url}} - LandLinq",market_expansion,"marketName, propertyTypes, sizeRange, url"
SMS,21,Meeting Confirmed,Meeting Set,"✅ Confirmed: {{date}} {{time}} at {{location}} for {{address}}. See email for agenda. Need changes? Call {{phone}}. - {{analystName}}",meeting_confirmation,"date, time, location, address, phone, analystName"
SMS,22,Seasonal Greeting,Holiday Wishes,"🎄 Happy {{holiday}}! Thanks for an amazing {{year}}. Looking forward to more success in {{nextYear}}! - Catalyst Capital Team",holiday,"holiday, year, nextYear"
SMS,23,Emergency Contact,After Hours Contact,"This is LandLinq after-hours service. For true emergencies: {{emergencyPhone}}. All other matters will be handled next business day. Thanks!",emergency,"emergencyPhone"
SMS,24,Account Update,Account Information,"Hi {{brokerName}}! Your LandLinq account has been updated. New login: {{portalUrl}}. Questions? Reply HELP or call {{supportPhone}}.",account_update,"brokerName, portalUrl, supportPhone"
EMAIL,23,Deal Analysis Deep Dive,Detailed Analysis: {{address}} | LandLinq #{{dealId}},"Dear {{brokerName}},

We've completed our comprehensive analysis of your submitted property. Here's our detailed assessment:

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Analysis Date:** {{analysisDate}}
**Lead Analyst:** {{leadAnalyst}}

**EXECUTIVE SUMMARY**
{{executiveSummary}}

**MARKET ANALYSIS**
{{marketAnalysis}}

**DEVELOPMENT POTENTIAL**
{{developmentPotential}}

**FINANCIAL PROJECTIONS**
{{financialProjections}}

**RISK ASSESSMENT**
{{riskAssessment}}

**COMPARABLE ANALYSIS**
{{comparableAnalysis}}

**INFRASTRUCTURE & UTILITIES**
{{infrastructureAnalysis}}

**ZONING & REGULATORY**
{{zoningAnalysis}}

**ENVIRONMENTAL CONSIDERATIONS**
{{environmentalFactors}}

**RECOMMENDATION**
{{finalRecommendation}}

**NEXT STEPS**
{{nextSteps}}

**TIMELINE**
{{proposedTimeline}}

This analysis reflects current market conditions as of {{analysisDate}}. Please feel free to discuss any aspects in detail.

**Schedule Discussion:**
{{calendarLink}} or call {{analystPhone}}

Best regards,
{{leadAnalyst}}
Senior Land Acquisition Analyst
Catalyst Capital Partners

**Confidential Analysis - Not for Distribution**",detailed_analysis,"brokerName, address, dealId, analysisDate, leadAnalyst, executiveSummary, marketAnalysis, developmentPotential, financialProjections, riskAssessment, comparableAnalysis, infrastructureAnalysis, zoningAnalysis, environmentalFactors, finalRecommendation, nextSteps, proposedTimeline, calendarLink, analystPhone"
EMAIL,24,Referral Thank You,Thank You for the Referral!,"Dear {{brokerName}},

Thank you for referring {{referredBrokerName}} to the LandLinq network!

**Referral Details:**
- Referred Broker: {{referredBrokerName}}
- Company: {{referredCompany}}
- Referral Date: {{referralDate}}
- Status: {{referralStatus}}

**Your Referral Bonus:**
{{referralBonus}}

**Referred Broker's Progress:**
{{referralProgress}}

**Why Referrals Matter:**
{{referralImportance}}

**Referral Program Benefits:**
- Cash bonus for successful referrals: {{bonusAmount}}
- Expanded deal flow opportunities
- Network growth rewards
- Annual recognition program

**Additional Referrals:**
Know other quality brokers? The referral program continues!
- Submit referrals: {{referralUrl}}
- Track status: {{trackingUrl}}
- Program details: {{programDetailsUrl}}

**Program Rules:**
{{programRules}}

Thank you for helping us grow our network with quality partners like {{referredBrokerName}}.

**Current Referral Status:**
- This Year: {{yearlyReferrals}} referrals
- Bonus Earned: {{bonusEarned}}
- Network Rank: {{networkRank}}

Best regards,
{{partnershipManager}}
Partnership Development
Catalyst Capital Partners

**Questions:** {{partnershipEmail}} | {{partnershipPhone}}",referral_thanks,"brokerName, referredBrokerName, referredCompany, referralDate, referralStatus, referralBonus, referralProgress, referralImportance, bonusAmount, referralUrl, trackingUrl, programDetailsUrl, programRules, yearlyReferrals, bonusEarned, networkRank, partnershipManager, partnershipEmail, partnershipPhone"
SMS,25,Referral Bonus Alert,Referral Bonus,"💰 Referral bonus earned! {{referredName}} joined successfully. ${{bonusAmount}} being processed. Thanks for growing our network! - LandLinq",referral_bonus,"referredName, bonusAmount"
